Сколько континентов на Земле?|5|6|7|1
Как называется кислота, содержащаяся в лимоне?|Уксусная|Лимонная|Яблочная|Соляная|1
Кто написал "Преступление и наказание"?|Толстой|Достоевский|Чехов|Булгаков|1
Какой газ составляет большую часть атмосферы Земли?|Кислород|Углекислый газ|Азот|Водород|2
В каком году человек впервые высадился на Луну?|1965|1968|1969|1972|2
Столица Австралии?|Сидней|Мельбурн|Канберра|Перт|2
Сколько нулей в миллионе?|5|6|7|8|1
Какая планета самая горячая в Солнечной системе?|Меркурий|Венера|Марс|Юпитер|1
Кто нарисовал "Звёздную ночь"?|Ван Гог|Моне|Дали|Пикассо|0
Какой элемент химической таблицы обозначается буквой O?|Золото|Серебро|Кислород|Осмий|2
Что больше: 1 гигабайт или 1 мегабайт?|Гигабайт|Мегабайт|Они равны|0
Кто был первым президентом США?|Джефферсон|Вашингтон|Линкольн|Адамс|1
В какой стране находится Эйфелева башня?|Италия|Германия|Франция|Испания|2
Сколько зубов у взрослого человека в норме?|28|30|32|34|2
Какая из этих игр не является шутером?|Call of Duty|DOOM|The Sims|Overwatch|2
Какой цвет получается при смешении красного и синего?|Зелёный|Жёлтый|Фиолетовый|Оранжевый|2
Кто поёт песню "Shape of You"?|Justin Bieber|Ed Sheeran|Shawn Mendes|Bruno Mars|1
Какая страна подарила США статую Свободы?|Англия|Германия|Франция|Испания|2
Windows — это...|Процессор|Операционная система|Программа|Антивирус|1
Как звали собачку Мэри Поппинс?|Джимми|Лаки|Полли|Рекс|2
